race,team,athlete,birthday
6906,ITA,"CASIRAGHI Jose",1987-01-29
6906,ITA,"GHERZI Federico",1994-05-16
6906,ITA,"MULAS Matteo",1992-03-16
6906,ITA,"PEGORARO Francesco",1993-08-13
6907,AUS,"DE CARVALHO Edward",1989-08-20
6907,AUS,"HOOKWAY Jonothan",1988-12-09
6907,AUS,"PERRY Thomas",1987-02-03
6907,AUS,"WILSON James",1988-01-02
6908,USA,"ETHRIDGE Colin",1989-03-03
6908,USA,"MC ADAM Hugh",1985-09-03
6908,USA,"MEYER Austin",1990-06-23
6908,USA,"O'LEARY Matthew",1990-09-19
6909,RUS,"ASHCHIN Dmitry",1981-12-19
6909,RUS,"KUDRYAVTSEV Ivan",1984-06-12
6909,RUS,"NEKRASOV Alexey",1987-09-27
6909,RUS,"YAMKOVSKIY Oleg",1990-05-22
691,CHN,"HUANG Wenyi",1991-03-06
691,CHN,"PAN Feihong",1989-07-17
6910,GBR,"COPUS Jamie",1993-01-30
6910,GBR,"LEE-GREEN Zak",1991-02-05
6910,GBR,"MOTTRAM Samuel",1994-11-14
6910,GBR,"PARSONAGE Steven",1996-01-16
6911,DEN,"BENDTSEN Andrej",1990-10-17
6911,DEN,"ESPENSEN Emil",1991-10-17
6911,DEN,"LARSEN Mathias",1992-03-30
6911,DEN,"PETERSEN Oscar",1992-05-03
6912,HKG,"CHAU Yee Ping",1998-09-15
6912,HKG,"CHIU Hin Chun",1994-08-20
6912,HKG,"CHOW Kwong Wing",1986-03-17
6912,HKG,"WONG Wai Kin",1992-08-12
6913,FRA,"DEMONTFAUCON Maxime",1993-11-03
6913,FRA,"HOUIN Pierre",1994-04-15
6913,FRA,"MAUNOIR Morgan",1993-01-07
6913,FRA,"PIQUERAS Damien",1991-08-29
6914,USA,"CARLSON John",1987-05-22
6914,USA,"DEVLIN John",1991-02-09
6914,USA,"HENSON Phillip",1989-04-14
6914,USA,"LAMBERT Christopher",1985-11-20
6914,USA,"LENHART Matthew",1991-07-24
6914,USA,"MC GEE Tobin",1988-07-22
6914,USA,"SCHMIDT Peter",1989-02-20
6914,USA,"SMITH David",1986-02-17
6914,USA,"TWIST Alex",1985-10-13
6915,FRA,"CAVARD Vincent",1988-10-26
6915,FRA,"CHOCHEYRAS Gael",1995-04-09
6915,FRA,"DURET Clement",1991-10-08
6915,FRA,"FONTA Clement",1988-04-10
6915,FRA,"GUERINOT Alexis",1995-03-03
6915,FRA,"HACOT Thibaut",1995-03-29
6915,FRA,"LECOMTE Thibault",1993-03-04
6915,FRA,"MOREAU Fabrice",1978-01-11
6915,FRA,"ROULET-DUBONNET Clement",1989-07-01
6916,GER,"BARR Simon",1985-09-12
6916,GER,"FRANZMANN Tobias",1990-12-08
6916,GER,"HEINEMANN Felix",1996-12-10
6916,GER,"MERTENS Claas",1992-01-02
6916,GER,"NEUMANN Torben",1991-07-11
6916,GER,"ROLLER Florian",1992-11-16
6916,GER,"SCHAD Tobias",1991-07-24
6916,GER,"TEMEL Can",1991-10-01
6916,GER,"WALLAT Stefan",1987-02-15
6917,TUR,"BOLUK Dogsah",1995-05-31
6917,TUR,"KARTAL Mert Kaan",1995-03-15
6917,TUR,"OZDEMIR Burak",1993-03-31
6917,TUR,"OZKAN Engin",1991-04-09
6917,TUR,"SAHIN Kaan",1988-01-24
6917,TUR,"SAHIN Nadir",1992-10-21
6917,TUR,"UNSAL Fatih",1995-06-26
6917,TUR,"YILMAZ Cem",1982-06-03
6917,TUR,"YUMRUKAYA Ahmet",1984-05-25
6918,ITA,"BARATTOLO Gianluca",1978-07-03
6918,ITA,"BARBARO Leone",1993-10-20
6918,ITA,"DI GIROLAMO Paolo",1994-01-22
6918,ITA,"GEROSA Davide",1995-08-11
6918,ITA,"LUINI Elia",1979-06-23
6918,ITA,"SCHISANO Francesco",1991-08-03
6918,ITA,"SERPICO Vincenzo",1991-06-21
6918,ITA,"SFILIGOI Piero",1994-06-03
6918,ITA,"TEDESCO Lorenzo",1990-12-30
6919,USA,"CARLSON John",1987-05-22
6919,USA,"DEVLIN John",1991-02-09
6919,USA,"HENSON Phillip",1989-04-14
6919,USA,"LAMBERT Christopher",1985-11-20
6919,USA,"LENHART Matthew",1991-07-24
6919,USA,"MC GEE Tobin",1988-07-22
6919,USA,"SCHMIDT Peter",1989-02-20
6919,USA,"SMITH David",1986-02-17
6919,USA,"TWIST Alex",1985-10-13
692,USA,"BROUGHTON Abelyn",1983-05-03
692,USA,"GROBLER Ursula",1980-02-06
6920,FRA,"CAVARD Vincent",1988-10-26
6920,FRA,"CHOCHEYRAS Gael",1995-04-09
6920,FRA,"DURET Clement",1991-10-08
6920,FRA,"FONTA Clement",1988-04-10
6920,FRA,"GUERINOT Alexis",1995-03-03
6920,FRA,"HACOT Thibaut",1995-03-29
6920,FRA,"LECOMTE Thibault",1993-03-04
6920,FRA,"MOREAU Fabrice",1978-01-11
6920,FRA,"ROULET-DUBONNET Clement",1989-07-01
6921,GER,"BARR Simon",1985-09-12
6921,GER,"FRANZMANN Tobias",1990-12-08
6921,GER,"HEINEMANN Felix",1996-12-10
6921,GER,"MERTENS Claas",1992-01-02
6921,GER,"NEUMANN Torben",1991-07-11
6921,GER,"ROLLER Florian",1992-11-16
6921,GER,"SCHAD Tobias",1991-07-24
6921,GER,"TEMEL Can",1991-10-01
6921,GER,"WALLAT Stefan",1987-02-15
6922,TUR,"BOLUK Dogsah",1995-05-31
6922,TUR,"KARTAL Mert Kaan",1995-03-15
6922,TUR,"OZDEMIR Burak",1993-03-31
6922,TUR,"OZKAN Engin",1991-04-09
6922,TUR,"SAHIN Kaan",1988-01-24
6922,TUR,"SAHIN Nadir",1992-10-21
6922,TUR,"UNSAL Fatih",1995-06-26
6922,TUR,"YILMAZ Cem",1982-06-03
6922,TUR,"YUMRUKAYA Ahmet",1984-05-25
6923,ITA,"BARATTOLO Gianluca",1978-07-03
6923,ITA,"BARBARO Leone",1993-10-20
6923,ITA,"DI GIROLAMO Paolo",1994-01-22
6923,ITA,"GEROSA Davide",1995-08-11
6923,ITA,"LUINI Elia",1979-06-23
6923,ITA,"SCHISANO Francesco",1991-08-03
6923,ITA,"SERPICO Vincenzo",1991-06-21
6923,ITA,"SFILIGOI Piero",1994-06-03
6923,ITA,"TEDESCO Lorenzo",1990-12-30
6924,GBR,"AGGAR Tom",1984-05-24
6925,USA,"HAXTON Blake",1990-12-17
6926,AUS,"HORRIE Erik",1979-10-07
6927,RUS,"CHUVASHEV Alexey",1986-01-22
6928,UKR,"BONDAR Igor",1966-06-05
6929,NED,"VAN HOLK Alexander",1984-06-05
693,BEL,"GEENTJENS Evi",1984-06-10
693,BEL,"HAMMOND Jo",1980-01-28
6930,POL,"KAILING Jaroslaw",1963-09-26
6931,KOR,"PARK Jun-Ha",1972-09-26
6932,BRA,"PEREIRA Rene",1980-06-27
6933,ITA,"CASELLI Fabrizio",1966-11-17
6934,ARG,"VYSOCKI Carlos",1970-09-14
6935,GER,"SCHMIDT Johannes",1982-08-09
6936,HUN,"PETO Zsolt",1980-03-19
6937,CZE,"KLENER Jan",1993-11-14
6938,BLR,"RYSHKEVICH Dzmitry",1986-04-23
6939,CHN,"HUANG Cheng",1982-01-12
694,AUT,"LAIMBOECK Manuela",1985-08-08
694,AUT,"TAUPE-TRAER Michaela",1975-01-25
6940,LTU,"NAVICKAS Augustas",1990-04-19
6941,IRL,"DOHERTY Karol",1979-09-25
6942,HKG,"SAMUEL Ajmal",1965-10-18
6943,JPN,"MAEDA Daisuke",1967-02-01
6944,AZE,"GASIMOV Asif",1979-07-12
6945,MEX,"MENDEZ VILLEGAS Alejandro",1977-12-05
6946,BUL,"MLADENOV Ilian",1987-07-02
6947,POL,"KAILING Jaroslaw",1963-09-26
6948,UKR,"BONDAR Igor",1966-06-05
6949,AUS,"HORRIE Erik",1979-10-07
695,ESP,"ARRAZOLA SANTESTEBAN Maialen",1985-02-01
695,ESP,"MAS DE XAXARS RIVERO Teresa",1982-09-13
6950,GBR,"AGGAR Tom",1984-05-24
6951,BRA,"PEREIRA Rene",1980-06-27
6952,ARG,"VYSOCKI Carlos",1970-09-14
6953,KOR,"PARK Jun-Ha",1972-09-26
6954,GER,"SCHMIDT Johannes",1982-08-09
6955,USA,"HAXTON Steven",1990-12-17
6956,RUS,"CHUVASHEV Alexey",1986-01-22
6957,ITA,"CASELLI Fabrizio",1966-11-17
6958,NED,"VAN HOLK Alexander",1984-06-05
6959,AZE,"GASIMOV Asif",1979-07-12
696,FRA,"MAURIN Elise",1989-02-12
696,FRA,"VINCE Eugenie",1987-06-18
6960,CHN,"HUANG Cheng",1982-01-12
6961,CZE,"KLENER Jan",1993-11-14
6962,HUN,"PETO Zsolt",1980-03-19
6963,MEX,"MENDEZ VILLEGAS Alejandro",1977-12-05
6964,HUN,"PETO Zsolt",1980-03-19
6965,LTU,"NAVICKAS Augustas",1990-04-19
6966,GER,"SCHMIDT Johannes",1982-08-09
6967,POL,"KAILING Jaroslaw",1963-09-26
6968,BUL,"MLADENOV Ilian",1987-07-02
6969,CZE,"KLENER Jan",1993-11-14
697,NED,"HEAD Maaike",1983-09-11
697,NED,"SIGMOND Rianne",1984-05-02
6970,NED,"VAN HOLK Alexander",1984-06-05
6971,UKR,"BONDAR Igor",1966-06-05
6972,MEX,"MENDEZ VILLEGAS Alejandro",1977-12-05
6973,HKG,"SAMUEL Ajmal",1965-10-18
6974,AZE,"GASIMOV Asif",1979-07-12
6975,ARG,"VYSOCKI Carlos",1970-09-14
6976,ITA,"CASELLI Fabrizio",1966-11-17
6977,JPN,"MAEDA Daisuke",1967-02-01
6978,BLR,"RYSHKEVICH Dzmitry",1986-04-23
6979,KOR,"PARK Jun-Ha",1972-09-26
698,POL,"KEMNITZ Magdalena",1985-03-13
698,POL,"RENC Agnieszka",1986-01-09
6980,BRA,"PEREIRA Rene",1980-06-27
6981,CHN,"HUANG Cheng",1982-01-12
6982,IRL,"DOHERTY Karol",1979-09-25
6983,CHN,"HUANG Cheng",1982-01-12
6984,CZE,"KLENER Jan",1993-11-14
6985,GER,"SCHMIDT Johannes",1982-08-09
6986,GBR,"AGGAR Tom",1984-05-24
6987,HUN,"PETO Zsolt",1980-03-19
6988,ARG,"VYSOCKI Carlos",1970-09-14
6989,LTU,"NAVICKAS Augustas",1990-04-19
699,JPN,"FUKUMOTO Atsumi",1988-07-24
699,JPN,"IWAMOTO Akiko",1978-09-25
6990,NED,"VAN HOLK Alexander",1984-06-05
6991,IRL,"DOHERTY Karol",1979-09-25
6992,AUS,"HORRIE Erik",1979-10-07
6993,AZE,"GASIMOV Asif",1979-07-12
6994,ITA,"CASELLI Fabrizio",1966-11-17
6995,JPN,"MAEDA Daisuke",1967-02-01
6996,MEX,"MENDEZ VILLEGAS Alejandro",1977-12-05
6997,BRA,"PEREIRA Rene",1980-06-27
6998,BUL,"MLADENOV Ilian",1987-07-02
6999,USA,"HAXTON Steven",1990-12-17
7,CHN,"ZHANG Liang",1987-01-14
70,MON,"RAYMOND Mathias",1986-01-13
700,CHN,"HUANG Wenyi",1991-03-06
700,CHN,"PAN Feihong",1989-07-17
7000,CAN,"ZEEMAN Carling",1991-05-27
7001,CZE,"KNAPKOVA Mirka",1980-09-19
7002,CHN,"DUAN Jingli",1989-03-08
7003,AUS,"CROW Kim",1985-08-09
7004,SUI,"GMELIN Jeannine",1990-06-20
7005,USA,"STONE Genevra",1985-07-11
7006,SWE,"SVENNUNG Anna Malvina",1984-10-24
7007,IRL,"PUSPURE Sanita",1981-12-21
7008,BLR,"KUKHTA Tatsiana",1990-06-13
7009,AUT,"LOBNIG Magdalena",1990-08-19
701,GRE,"GIAZITZIDOU Christina",1989-10-12
701,GRE,"TSIAVOU Alexandra",1985-09-26
7010,LTU,"SALTYTE Lina",1987-02-09
7011,ZIM,"THORNYCROFT Micheen",1987-06-26
7012,DEN,"ERICHSEN Fie Udby",1985-04-23
7013,UKR,"DOVGODKO Nataliya",1991-02-07
7014,NZL,"BOURKE Fiona",1988-10-16
7015,POL,"MICHALSKA Julia",1985-07-21
7016,GER,"RICHTER Julia",1988-09-29
7017,NED,"SCHEENAARD Lisa",1988-09-05
7018,NGR,"UKOGO Chierika",1992-10-02
7019,BEL,"PELEMAN Eveline",1993-01-25
702,GBR,"GOODSELL Hester",1984-06-27
702,GBR,"HOSKING Sophie",1986-01-25
7020,RUS,"LEVINA Julia",1973-01-02
7021,ITA,"PALMA Gaia",1990-03-08
7022,LAT,"GULBE Elza",1993-06-13
7023,SRB,"ARSIC Jovana",1992-09-10
7024,QAT,"ABUJBARA Tala",1992-07-22
7025,KAZ,"GERMANOVICH Svetlana",1986-09-21
7026,INA,"YULIAWATI Dewi",1997-06-02
7027,ESP,"DIAZ RIVAS Virginia",1991-08-15
7028,KOR,"KIM Seulgi",1989-02-20
7029,VIE,"PHAM THI Hue",1990-07-05
703,USA,"BROUGHTON Abelyn",1983-05-03
703,USA,"GROBLER Ursula",1980-02-06
7030,TOG,"AYIVON Akossiwa",1996-08-11
7031,KEN,"WANYONYI Diana",1989-12-30
7032,PUR,"TORO ARANA Veronica",1994-08-05
7033,AUT,"LOBNIG Magdalena",1990-08-19
7034,IRL,"PUSPURE Sanita",1981-12-21
7035,CZE,"KNAPKOVA Mirka",1980-09-19
7036,CHN,"DUAN Jingli",1989-03-08
7037,USA,"STONE Genevra",1985-07-11
7038,ZIM,"THORNYCROFT Micheen",1987-06-26
7039,LTU,"SALTYTE Lina",1987-02-09
704,NZL,"EDWARD Julia",1991-02-20
704,NZL,"STRACK Lucy",1989-11-28
7040,CAN,"ZEEMAN Carling",1991-05-27
7041,BLR,"KUKHTA Tatsiana",1990-06-13
7042,AUS,"CROW Kim",1985-08-09
7043,SUI,"GMELIN Jeannine",1990-06-20
7044,SWE,"SVENNUNG Anna Malvina",1984-10-24
7045,ITA,"PALMA Gaia",1990-03-08
7046,POL,"MICHALSKA Julia",1985-07-21
7047,LAT,"GULBE Elza",1993-06-13
7048,GER,"RICHTER Julia",1988-09-29
7049,DEN,"ERICHSEN Fie Udby",1985-04-23
705,ITA,"BELLO Erika",1975-11-30
705,ITA,"POLLINI Giulia",1988-03-08
7050,NGR,"UKOGO Chierika",1992-10-02
7051,UKR,"DOVGODKO Nataliya",1991-02-07
7052,SRB,"ARSIC Jovana",1992-09-10
7053,NZL,"BOURKE Fiona",1988-10-16
7054,NED,"SCHEENAARD Lisa",1988-09-05
7055,BEL,"PELEMAN Eveline",1993-01-25
7056,RUS,"LEVINA Julia",1973-01-02
7057,KEN,"WANYONYI Diana",1989-12-30
7058,QAT,"ABUJBARA Tala",1992-07-22
7059,INA,"YULIAWATI Dewi",1997-06-02
706,BEL,"GEENTJENS Evi",1984-06-10
706,BEL,"HAMMOND Jo",1980-01-28
7060,KAZ,"GERMANOVICH Svetlana",1986-09-21
7061,PUR,"TORO ARANA Veronica",1994-08-05
7062,KOR,"KIM Seulgi",1989-02-20
7063,ESP,"DIAZ RIVAS Virginia",1991-08-15
7064,VIE,"PHAM THI Hue",1990-07-05
7065,TOG,"AYIVON Akossiwa",1996-08-11
7066,SRB,"ARSIC Jovana",1992-09-10
7067,NGR,"UKOGO Chierika",1992-10-02
7068,CHN,"DUAN Jingli",1989-03-08
7069,AUT,"LOBNIG Magdalena",1990-08-19
707,AUT,"LAIMBOECK Manuela",1985-08-08
707,AUT,"TAUPE-TRAER Michaela",1975-01-25
7070,SUI,"GMELIN Jeannine",1990-06-20
7071,LAT,"GULBE Elza",1993-06-13
7072,RUS,"LEVINA Julia",1973-01-02
7073,NED,"SCHEENAARD Lisa",1988-09-05
7074,LTU,"SALTYTE Lina",1987-02-09
7075,AUS,"CROW Kim",1985-08-09
7076,USA,"STONE Genevra",1985-07-11
7077,POL,"MICHALSKA Julia",1985-07-21
7078,SWE,"SVENNUNG Anna Malvina",1984-10-24
7079,UKR,"DOVGODKO Nataliya",1991-02-07
708,CAN,"CAMERON Tracy",1975-02-01
708,CAN,"JENNERICH Lindsay",1982-07-30
7080,CAN,"ZEEMAN Carling",1991-05-27
7081,CZE,"KNAPKOVA Mirka",1980-09-19
7082,GER,"RICHTER Julia",1988-09-29
7083,BEL,"PELEMAN Eveline",1993-01-25
7084,ITA,"PALMA Gaia",1990-03-08
7085,NZL,"BOURKE Fiona",1988-10-16
7086,BLR,"KUKHTA Tatsiana",1990-06-13
7087,DEN,"ERICHSEN Fie Udby",1985-04-23
7088,IRL,"PUSPURE Sanita",1981-12-21
7089,ZIM,"THORNYCROFT Micheen",1987-06-26
709,GER,"NOSKE Anja",1986-06-10
709,GER,"REIMER Daniela",1982-09-26
7090,INA,"YULIAWATI Dewi",1997-06-02
7091,RUS,"LEVINA Julia",1973-01-02
7092,KOR,"KIM Seulgi",1989-02-20
7093,SWE,"SVENNUNG Anna Malvina",1984-10-24
7094,PUR,"TORO ARANA Veronica",1994-08-05
7095,ITA,"PALMA Gaia",1990-03-08
7096,KEN,"WANYONYI Diana",1989-12-30
7097,LAT,"GULBE Elza",1993-06-13
7098,QAT,"ABUJBARA Tala",1992-07-22
7099,VIE,"PHAM THI Hue",1990-07-05
71,CZE,"SYNEK Ondrej",1982-10-13
710,AUS,"EVERY-HALL Hannah",1977-11-18
710,AUS,"McNAMARA Alice",1986-02-22
7100,SRB,"ARSIC Jovana",1992-09-10
7101,ESP,"DIAZ RIVAS Virginia",1991-08-15
7102,POL,"MICHALSKA Julia",1985-07-21
7103,TOG,"AYIVON Akossiwa",1996-08-11
7104,KAZ,"GERMANOVICH Svetlana",1986-09-21
7105,PUR,"TORO ARANA Veronica",1994-08-05
7106,NZL,"BOURKE Fiona",1988-10-16
7107,SRB,"ARSIC Jovana",1992-09-10
7108,AUT,"LOBNIG Magdalena",1990-08-19
7109,GER,"RICHTER Julia",1988-09-29
711,ESP,"ARRAZOLA SANTESTEBAN Maialen",1985-02-01
711,ESP,"MAS DE XAXARS RIVERO Teresa",1982-09-13
7110,LAT,"GULBE Elza",1993-06-13
7111,RUS,"LEVINA Julia",1973-01-02
7112,LTU,"SALTYTE Lina",1987-02-09
7113,CAN,"ZEEMAN Carling",1991-05-27
7114,ITA,"PALMA Gaia",1990-03-08
7115,ZIM,"THORNYCROFT Micheen",1987-06-26
7116,KAZ,"GERMANOVICH Svetlana",1986-09-21
7117,POL,"MICHALSKA Julia",1985-07-21
7118,SWE,"SVENNUNG Anna Malvina",1984-10-24
7119,CZE,"KNAPKOVA Mirka",1980-09-19
712,POL,"KEMNITZ Magdalena",1985-03-13
712,POL,"RENC Agnieszka",1986-01-09
7120,IRL,"PUSPURE Sanita",1981-12-21
7121,NED,"SCHEENAARD Lisa",1988-09-05
7122,VIE,"PHAM THI Hue",1990-07-05
7123,KEN,"WANYONYI Diana",1989-12-30
7124,TOG,"AYIVON Akossiwa",1996-08-11
7125,NGR,"UKOGO Chierika",1992-10-02
7126,DEN,"ERICHSEN Fie Udby",1985-04-23
7127,USA,"STONE Genevra",1985-07-11
7128,KOR,"KIM Seulgi",1989-02-20
7129,QAT,"ABUJBARA Tala",1992-07-22
713,BEL,"GEENTJENS Evi",1984-06-10
713,BEL,"HAMMOND Jo",1980-01-28
7130,SUI,"GMELIN Jeannine",1990-06-20
7131,AUS,"CROW Kim",1985-08-09
7132,BEL,"PELEMAN Eveline",1993-01-25
7133,ESP,"DIAZ RIVAS Virginia",1991-08-15
7134,INA,"YULIAWATI Dewi",1997-06-02
7135,UKR,"DOVGODKO Nataliya",1991-02-07
7136,BLR,"KUKHTA Tatsiana",1990-06-13
7137,CHN,"DUAN Jingli",1989-03-08
7138,DEN,"ANDERSEN Anne",1992-11-10
7138,DEN,"RASMUSSEN Hedvig",1993-12-22
7139,NZL,"GOWLER Kerri",1993-12-18
7139,NZL,"PRENDERGAST Grace",1992-06-30
714,NZL,"EDWARD Julia",1991-02-20
714,NZL,"STRACK Lucy",1989-11-28
7140,USA,"LOGAN Eleanor",1987-12-27
7140,USA,"MUELLER Felice",1989-10-15
7141,GBR,"GLOVER Helen",1986-06-17
7141,GBR,"STANNING Heather",1985-01-26
7142,RSA,"PERSSE Lee-Ann",1988-11-20
7142,RSA,"SMITH Naydene",1987-08-27
7143,CAN,"MARTINS Jennifer",1989-01-31
7143,CAN,"NURSE Cristy",1986-12-05
7144,BLR,"KRYVASHEYENKA Alena",1991-05-08
7144,BLR,"NIKULINA Ina",1995-02-23
7145,ROU,"GRIGORAS Cristina",1990-04-25
7145,ROU,"OPREA Laura",1994-02-19
7146,GER,"HARTMANN Kerstin",1988-06-14
7146,GER,"MARCHAND Kathrin",1990-11-15
7147,POL,"WIERZBOWSKA Anna",1990-12-08
7147,POL,"WIERZBOWSKA Maria",1995-02-13
7148,NED,"HOGERWERF Elisabeth",1989-02-10
7148,NED,"van ROOIJEN Olivia",1988-10-29
7149,FRA,"KOBER Noemie",1993-12-15
7149,FRA,"LE NEPVOU Marie",1985-01-25
715,ITA,"BELLO Erika",1975-11-30
715,ITA,"POLLINI Giulia",1988-03-08
7150,UKR,"KONTSEVA Anna",1984-02-01
7150,UKR,"NOVICHENKO Svitlana",1982-12-27
7151,CHN,"CHENG Wenjing",1994-11-13
7151,CHN,"YI Liqin",1993-10-25
7152,AUS,"GOODMAN Molly",1993-02-19
7152,AUS,"HORTON Genevieve",1995-01-06
7153,ITA,"BERTOLASI Sara",1988-04-29
7153,ITA,"PATELLI Alessandra",1991-11-17
7154,CZE,"KOPECKA Katerina",1991-04-21
7154,CZE,"STILLEROVA Martina",1991-06-17
7155,CRO,"MILOSEVIC Karla",1992-09-07
7155,CRO,"MILOSEVIC Marcela",1990-11-13
7156,RUS,"KHALALEEVA Olga",1991-11-13
7156,RUS,"ZHUKOVA Anastasia",1991-03-06
7157,BEL,"GHUYSEN Jeanne",1993-01-19
7157,BEL,"LEWUILLON Marine",1991-02-16
7158,ESP,"BOADA PEIRO Anna",1992-12-30
7158,ESP,"DIAZ RIVAS Virginia",1991-08-15
7159,FRA,"KOBER Noemie",1993-12-15
7159,FRA,"LE NEPVOU Marie",1985-01-25
716,FRA,"MAURIN Elise",1989-02-12
716,FRA,"VINCE Eugenie",1987-06-18
7160,CAN,"MARTINS Jennifer",1989-01-31
7160,CAN,"NURSE Cristy",1986-12-05
7161,NED,"HOGERWERF Elisabeth",1989-02-10
7161,NED,"van ROOIJEN Olivia",1988-10-29
7162,USA,"LOGAN Eleanor",1987-12-27
7162,USA,"MUELLER Felice",1989-10-15
7163,RSA,"PERSSE Lee-Ann",1988-11-20
7163,RSA,"SMITH Naydene",1987-08-27
7164,GER,"HARTMANN Kerstin",1988-06-14
7164,GER,"MARCHAND Kathrin",1990-11-15
7165,BLR,"KRYVASHEYENKA Alena",1991-05-08
7165,BLR,"NIKULINA Ina",1995-02-23
7166,ROU,"GRIGORAS Cristina",1990-04-25
7166,ROU,"OPREA Laura",1994-02-19
7167,GBR,"GLOVER Helen",1986-06-17
7167,GBR,"STANNING Heather",1985-01-26
7168,NZL,"GOWLER Kerri",1993-12-18
7168,NZL,"PRENDERGAST Grace",1992-06-30
7169,DEN,"ANDERSEN Anne",1992-11-10
7169,DEN,"RASMUSSEN Hedvig",1993-12-22
717,AUS,"EVERY-HALL Hannah",1977-11-18
717,AUS,"McNAMARA Alice",1986-02-22
7170,POL,"WIERZBOWSKA Anna",1990-12-08
7170,POL,"WIERZBOWSKA Maria",1995-02-13
7171,CRO,"MILOSEVIC Karla",1992-09-07
7171,CRO,"MILOSEVIC Marcela",1990-11-13
7172,CZE,"KOPECKA Katerina",1991-04-21
7172,CZE,"STILLEROVA Martina",1991-06-17
7173,ITA,"BERTOLASI Sara",1988-04-29
7173,ITA,"PATELLI Alessandra",1991-11-17
7174,BEL,"GHUYSEN Jeanne",1993-01-19
7174,BEL,"LEWUILLON Marine",1991-02-16
7175,RUS,"KHALALEEVA Olga",1991-11-13
7175,RUS,"ZHUKOVA Anastasia",1991-03-06
7176,CHN,"CHENG Wenjing",1994-11-13
7176,CHN,"YI Liqin",1993-10-25
7177,ESP,"BOADA PEIRO Anna",1992-12-30
7177,ESP,"DOMINGUEZ ASENSIO Nuria",1974-01-30
7178,AUS,"GOODMAN Molly",1993-02-19
7178,AUS,"HORTON Genevieve",1995-01-06
7179,UKR,"KONTSEVA Anna",1984-02-01
7179,UKR,"NOVICHENKO Svitlana",1982-12-27
718,ESP,"ARRAZOLA SANTESTEBAN Maialen",1985-02-01
718,ESP,"MAS DE XAXARS RIVERO Teresa",1982-09-13
7180,UKR,"KONTSEVA Anna",1984-02-01
7180,UKR,"NOVICHENKO Svitlana",1982-12-27
7181,CZE,"KOPECKA Katerina",1991-04-21
7181,CZE,"STILLEROVA Martina",1991-06-17
7182,ROU,"GRIGORAS Cristina",1990-04-25
7182,ROU,"OPREA Laura",1994-02-19
7183,GER,"HARTMANN Kerstin",1988-06-14
7183,GER,"MARCHAND Kathrin",1990-11-15
7184,RUS,"KHALALEEVA Olga",1991-11-13
7184,RUS,"ZHUKOVA Anastasia",1991-03-06
7185,BEL,"GHUYSEN Jeanne",1993-01-19
7185,BEL,"LEWUILLON Marine",1991-02-16
7186,RSA,"PERSSE Lee-Ann",1988-11-20
7186,RSA,"SMITH Naydene",1987-08-27
7187,BLR,"KRYVASHEYENKA Alena",1991-05-08
7187,BLR,"NIKULINA Ina",1995-02-23
7188,ESP,"BOADA PEIRO Anna",1992-12-30
7188,ESP,"DOMINGUEZ ASENSIO Nuria",1974-01-30
7189,ITA,"BERTOLASI Sara",1988-04-29
7189,ITA,"PATELLI Alessandra",1991-11-17
719,CHN,"HUANG Wenyi",1991-03-06
719,CHN,"PAN Feihong",1989-07-17
7190,DEN,"ANDERSEN Anne",1992-11-10
7190,DEN,"RASMUSSEN Hedvig",1993-12-22
7191,FRA,"KOBER Noemie",1993-12-15
7191,FRA,"LE NEPVOU Marie",1985-01-25
7192,CHN,"CHENG Wenjing",1994-11-13
7192,CHN,"YI Liqin",1993-10-25
7193,AUS,"GOODMAN Molly",1993-02-19
7193,AUS,"HORTON Genevieve",1995-01-06
7194,CAN,"MARTINS Jennifer",1989-01-31
7194,CAN,"NURSE Cristy",1986-12-05
7195,POL,"WIERZBOWSKA Anna",1990-12-08
7195,POL,"WIERZBOWSKA Maria",1995-02-13
7196,CRO,"MILOSEVIC Karla",1992-09-07
7196,CRO,"MILOSEVIC Marcela",1990-11-13
7197,ROU,"GRIGORAS Cristina",1990-04-25
7197,ROU,"OPREA Laura",1994-02-19
7198,ITA,"BERTOLASI Sara",1988-04-29
7198,ITA,"PATELLI Alessandra",1991-11-17
7199,NED,"HOGERWERF Elisabeth",1989-02-10
7199,NED,"van ROOIJEN Olivia",1988-10-29
72,AUS,"FREE Duncan",1973-05-25
720,NED,"HEAD Maaike",1983-09-11
720,NED,"SIGMOND Rianne",1984-05-02
7200,ESP,"BOADA PEIRO Anna",1992-12-30
7200,ESP,"DOMINGUEZ ASENSIO Nuria",1974-01-30
7201,UKR,"KONTSEVA Anna",1984-02-01
7201,UKR,"NOVICHENKO Svitlana",1982-12-27
7202,POL,"WIERZBOWSKA Anna",1990-12-08
7202,POL,"WIERZBOWSKA Maria",1995-02-13
7203,GER,"HARTMANN Kerstin",1988-06-14
7203,GER,"MARCHAND Kathrin",1990-11-15
7204,AUS,"GOODMAN Molly",1993-02-19
7204,AUS,"HORTON Genevieve",1995-01-06
7205,GBR,"GLOVER Helen",1986-06-17
7205,GBR,"STANNING Heather",1985-01-26
7206,CHN,"CHENG Wenjing",1994-11-13
7206,CHN,"YI Liqin",1993-10-25
7207,RSA,"PERSSE Lee-Ann",1988-11-20
7207,RSA,"SMITH Naydene",1987-08-27
7208,CZE,"KOPECKA Katerina",1991-04-21
7208,CZE,"STILLEROVA Martina",1991-06-17
